0,0.009059,0.006831,0.004901,0.003861,0.11583,0.02183,0.28215,0.2376,0.065637,0.078557,0.173745
0.008612,0,0.007483,0.012424,0.007624,0.114641,0.025695,0.275307,0.230128,0.06678,0.080474,0.170832
0.00668,0.007697,0,0.007552,0.005518,0.115742,0.024252,0.277955,0.23555,0.066512,0.078856,0.173686
0.004771,0.012722,0.007518,0,0.007084,0.116814,0.027758,0.271794,0.235651,0.067804,0.073587,0.174498
0.003875,0.008049,0.005664,0.007304,0,0.113579,0.020867,0.286183,0.236548,0.06305,0.081979,0.172902
0.076142,0.079266,0.077802,0.078875,0.074385,0,0.068723,0.261128,0.080633,0.034166,0.127294,0.041585
0.020309,0.025145,0.023073,0.026527,0.019342,0.097264,0,0.282537,0.210832,0.050014,0.092981,0.151976
0.077311,0.079346,0.077881,0.076497,0.078125,0.108846,0.083211,0,0.142415,0.095133,0.056112,0.125122
0.087917,0.089565,0.089126,0.089565,0.087203,0.045387,0.083851,0.192318,0,0.064509,0.11693,0.053629
0.053889,0.057669,0.05584,0.057181,0.051573,0.042673,0.044136,0.285052,0.143136,0,0.117532,0.091319
0.04876,0.052539,0.050051,0.046917,0.050696,0.120195,0.062033,0.127108,0.196147,0.088856,0,0.156696
0.083757,0.08662,0.085618,0.086406,0.083041,0.030496,0.078746,0.22013,0.069869,0.053619,0.121698,0
