"","jakarta_bc","bogor_bc","depok_bc","tangerang_bc","bekasi_bc","surabaya_bc","bandung_bc","medan_bc","makassar_bc","semarang_bc","palembang_bc","denpasar_bc"
"1",0.945981448419243,1.02457965452751,0.925870891832253,0.90866602737917,1.0973098433019,0.71283711983081,0.723854824097359,1.89711917353931,0.90506550755696,0.816220710764761,0.957236440368409,0.821617742783024
"2",0.960654458804387,0.993910570145652,0.900138508968686,0.887662272999723,1.05657597178632,0.719915182856317,0.711420993707788,1.87651361518272,0.888620931202757,0.807093730925407,0.929390040053582,0.809500946502808
"3",0.978967674239296,0.965500356578226,0.877904130262275,0.87192396318658,1.0238623464119,0.701921741691867,0.701028619948057,1.84776235508454,0.872199584211131,0.790537078871693,0.903207555869155,0.794529611969941
"4",1.00216940677499,0.938651490857239,0.857248845758262,0.855682575948638,0.995274274401911,0.690504965494715,0.687595247208933,1.815465283968,0.856568460007697,0.77704876287742,0.87835543552496,0.780258070368281
"5",1.03081044702795,0.913293657652356,0.83803843394418,0.839809825874502,0.969955949317657,0.678555568901796,0.675202503034567,1.78506506374173,0.842258234697136,0.763333469627463,0.85482665139066,0.766997606119311
"6",1.06555501538795,0.889343030287412,0.820116344687299,0.824550536936173,0.94722718452626,0.668297754984379,0.66363621974085,1.75742342883098,0.829564469426186,0.751638874554144,0.832584297838492,0.755170234224763
"7",1.10705943573284,0.866791091898003,0.803520878746315,0.810419937782193,0.926828025883079,0.659429868505603,0.653394402369339,1.73348790918975,0.818752520078973,0.741301177267949,0.811636073552328,0.744996413460264
"8",1.15605568397905,0.845642433586893,0.788309641966321,0.797717006800814,0.90861400118654,0.652221447602042,0.644586966090095,1.71366132866062,0.809975828668782,0.73290466380878,0.791995963182909,0.736642256131505
"9",1.21335055320459,0.825920862754252,0.774573243155135,0.786692349047297,0.892547164765413,0.64678383234782,0.63737682007632,1.69838258383815,0.803426540430682,0.726411440820284,0.773692140625169,0.730273577307655
"10",1.27984543092285,0.807661390912878,0.762413492805383,0.777538071741467,0.878646031208381,0.643266800862118,0.631890210817331,1.68802549978718,0.799275485602278,0.722071638090494,0.756761489524559,0.72604884672209
